Experiment,Method,Classifier,"Train_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
32,original,CT,1.0,0.8452983373185786
32,original,LDA,1.0,0.6632106828238542
32,ldbk,CT,1.0,0.9123569368763387
32,ldbk,LDA,0.9111111111111111,0.876364433095062
32,ldbkash,CT,1.0,0.6748951781970649
32,ldbkash,LDA,0.8316239316239317,0.6171717648078423
32,ldbkemd,CT,1.0,0.9082865528020346
32,ldbkemd,LDA,0.9121863799283154,0.8746919608177867
29,original,CT,1.0,0.8732982573467509
29,original,LDA,1.0,0.6724573064386883
29,ldbk,CT,1.0,0.8675943966549062
29,ldbk,LDA,0.9105763517528224,0.8815652763005942
29,ldbkash,CT,1.0,0.5160875941935299
29,ldbkash,LDA,0.6405280181834077,0.44622353526452574
29,ldbkemd,CT,1.0,0.891984702084564
29,ldbkemd,LDA,0.9011904761904762,0.8939857536020722
1,original,CT,1.0,0.8193238777268145
1,original,LDA,1.0,0.7205732141216012
1,ldbk,CT,1.0,0.858183319138504
1,ldbk,LDA,0.9522102747909199,0.8376522501318059
1,ldbkash,CT,1.0,0.5980695382956454
1,ldbkash,LDA,0.7998316498316499,0.559625846039123
1,ldbkemd,CT,1.0,0.9308837091684764
1,ldbkemd,LDA,0.9525462962962963,0.8652245409909222
54,original,CT,1.0,0.7843749979337081
54,original,LDA,1.0,0.6793488461494974
54,ldbk,CT,1.0,0.8385853978216716
54,ldbk,LDA,0.899212715389186,0.8808788770543214
54,ldbkash,CT,1.0,0.6661523998872279
54,ldbkash,LDA,0.7519138185804852,0.5864005366288343
54,ldbkemd,CT,1.0,0.9120993990571594
54,ldbkemd,LDA,0.9090909090909091,0.8805171341054848
78,original,CT,1.0,0.8541342428461414
78,original,LDA,1.0,0.6421601139120741
78,ldbk,CT,1.0,0.8813371259549604
78,ldbk,LDA,0.8923611111111112,0.9105874093295477
78,ldbkash,CT,1.0,0.8435033291061014
78,ldbkash,LDA,0.9107142857142857,0.9260883189317203
78,ldbkemd,CT,1.0,0.8663885829852959
78,ldbkemd,LDA,0.9126126126126126,0.9052439123298882
81,original,CT,1.0,0.8550804866288343
81,original,LDA,1.0,0.7388536329622466
81,ldbk,CT,1.0,0.8944517225611083
81,ldbk,LDA,0.922077922077922,0.8932207207207207
81,ldbkash,CT,1.0,0.6981684487204991
81,ldbkash,LDA,0.75426944971537,0.59783297140789
81,ldbkemd,CT,1.0,0.9230918830996623
81,ldbkemd,LDA,0.922077922077922,0.8899098366671748
2,original,CT,1.0,0.874954216217756
2,original,LDA,1.0,0.710221088686229
2,ldbk,CT,1.0,0.9243898664805232
2,ldbk,LDA,0.890818858560794,0.854788335253726
2,ldbkash,CT,1.0,0.8167104171810993
2,ldbkash,LDA,0.8364197530864198,0.6875848208640518
2,ldbkemd,CT,1.0,0.8991590508257175
2,ldbkemd,LDA,0.9177631578947368,0.8580097812987547
74,original,CT,1.0,0.8160563841686047
74,original,LDA,1.0,0.7092928968294547
74,ldbk,CT,1.0,0.9125064157399487
74,ldbk,LDA,0.8814217443249701,0.8760600128684491
74,ldbkash,CT,1.0,0.5920541947321234
74,ldbkash,LDA,0.621957671957672,0.5509621609729918
74,ldbkemd,CT,1.0,0.9123237679795864
74,ldbkemd,LDA,0.8924924924924925,0.8932086774503576
41,original,CT,1.0,0.840941907521782
41,original,LDA,1.0,0.6845056819862183
41,ldbk,CT,1.0,0.9124167128618167
41,ldbk,LDA,0.9201228878648233,0.856343984183218
41,ldbkash,CT,1.0,0.5778890687232041
41,ldbkash,LDA,0.6750805152979067,0.4959803503221173
41,ldbkemd,CT,1.0,0.9368405364749308
41,ldbkemd,LDA,0.9295343137254902,0.8577320745541867
65,original,CT,1.0,0.8165582513795974
65,original,LDA,1.0,0.7079778902393958
65,ldbk,CT,1.0,0.8648976331955055
65,ldbk,LDA,0.9809523809523809,0.856858909765821
65,ldbkash,CT,1.0,0.7562192603461863
65,ldbkash,LDA,0.8662469751966122,0.6909653440246992
65,ldbkemd,CT,1.0,0.9034500061196022
65,ldbkemd,LDA,0.9797979797979798,0.8502558644004812
51,original,CT,1.0,0.7923597799077032
51,original,LDA,1.0,0.7428523198855832
51,ldbk,CT,1.0,0.9253782548531078
51,ldbk,LDA,0.9332462714815656,0.8778450955175093
51,ldbkash,CT,1.0,0.6825013400675726
51,ldbkash,LDA,0.7766792347437509,0.5684351913121857
51,ldbkemd,CT,1.0,0.9362263665613573
51,ldbkemd,LDA,0.9306397306397306,0.885861290143441
53,original,CT,1.0,0.8618272405264525
53,original,LDA,1.0,0.5975901541807094
53,ldbk,CT,1.0,0.8997232622232623
53,ldbk,LDA,0.8885941644562334,0.8201449663396202
53,ldbkash,CT,1.0,0.7964013371937847
53,ldbkash,LDA,0.7306324265165729,0.5650716190133689
53,ldbkemd,CT,1.0,0.849877155921755
53,ldbkemd,LDA,0.8544027898866609,0.8536796037228788
27,original,CT,1.0,0.8579392450512591
27,original,LDA,1.0,0.6959521805542567
27,ldbk,CT,1.0,0.8739240480503951
27,ldbk,LDA,0.9417027417027417,0.8681164124202099
27,ldbkash,CT,1.0,0.5802334904048465
27,ldbkash,LDA,0.6838562700631665,0.5180501476262092
27,ldbkemd,CT,1.0,0.8798130783612141
27,ldbkemd,LDA,0.9316017316017315,0.8701315586325703
75,original,CT,1.0,0.8329183046649085
75,original,LDA,1.0,0.6840534101093132
75,ldbk,CT,1.0,0.9047258844233895
75,ldbk,LDA,0.884313725490196,0.8801650437722439
75,ldbkash,CT,1.0,0.6438704640143489
75,ldbkash,LDA,0.7189012758168205,0.5115818864816402
75,ldbkemd,CT,1.0,0.923952311887741
75,ldbkemd,LDA,0.8947811447811448,0.8818270165208941
42,original,CT,1.0,0.8147454868134643
42,original,LDA,1.0,0.7864849894760164
42,ldbk,CT,1.0,0.8160675381263617
42,ldbk,LDA,0.8782051282051282,0.8130726804526337
42,ldbkash,CT,1.0,0.7201553639887801
42,ldbkash,LDA,0.7068620268620269,0.5348568484003298
42,ldbkemd,CT,1.0,0.8798439831773165
42,ldbkemd,LDA,0.9393939393939394,0.8967095353956668
33,original,CT,1.0,0.8172462905605204
33,original,LDA,1.0,0.7515848173151972
33,ldbk,CT,1.0,0.8803932391737619
33,ldbk,LDA,0.8998463901689708,0.8814977160104052
33,ldbkash,CT,1.0,0.7001937496453812
33,ldbkash,LDA,0.6383928571428572,0.4218806559886533
33,ldbkemd,CT,1.0,0.9095948942790314
33,ldbkemd,LDA,0.8890931372549019,0.8827074212314124
28,original,CT,1.0,0.8469039933308589
28,original,LDA,1.0,0.7103672361235298
28,ldbk,CT,1.0,0.8773796887029576
28,ldbk,LDA,0.9518518518518518,0.9011180477641365
28,ldbkash,CT,1.0,0.8819021490178314
28,ldbkash,LDA,0.9497549019607843,0.8835125479357543
28,ldbkemd,CT,1.0,0.9155138677753353
28,ldbkemd,LDA,0.9295343137254902,0.8996439703463448
50,original,CT,1.0,0.8113180352358674
50,original,LDA,1.0,0.7340115352288207
50,ldbk,CT,1.0,0.9440641322683576
50,ldbk,LDA,0.9224537037037037,0.9008999772157666
50,ldbkash,CT,1.0,0.6883442673385052
50,ldbkash,LDA,0.6862899560672626,0.5498276883450264
50,ldbkemd,CT,1.0,0.9231691084660056
50,ldbkemd,LDA,0.9316017316017315,0.8972755733182133
52,original,CT,1.0,0.8189404804420082
52,original,LDA,1.0,0.7250480917490982
52,ldbk,CT,1.0,0.9041181928554569
52,ldbk,LDA,0.9327327327327327,0.8987117961457393
52,ldbkash,CT,1.0,0.5329826520147571
52,ldbkash,LDA,0.6754742547425474,0.5405320287390845
52,ldbkemd,CT,1.0,0.8924526036664301
52,ldbkemd,LDA,0.9528528528528528,0.9133079892625816
63,original,CT,1.0,0.8283133146653966
63,original,LDA,1.0,0.7649616402116403
63,ldbk,CT,1.0,0.9249240820268178
63,ldbk,LDA,0.9403993855606759,0.8652400441193545
63,ldbkash,CT,1.0,0.7623980649290194
63,ldbkash,LDA,0.8233603786342123,0.7121165814269337
63,ldbkemd,CT,1.0,0.9044732026383403
63,ldbkemd,LDA,0.9595959595959596,0.8748288805246933
92,original,CT,1.0,0.7912013913318849
92,original,LDA,1.0,0.7032980233566709
92,ldbk,CT,1.0,0.8920135816629344
92,ldbk,LDA,0.9494578134284016,0.8569384254174838
92,ldbkash,CT,1.0,0.5692199293841189
92,ldbkash,LDA,0.7309815486993345,0.5152594388415384
92,ldbkemd,CT,1.0,0.8704490858559226
92,ldbkemd,LDA,0.9494578134284016,0.8542198368170636
88,original,CT,1.0,0.8628817052468547
88,original,LDA,1.0,0.6120874773661151
88,ldbk,CT,1.0,0.8714962035645147
88,ldbk,LDA,0.876608187134503,0.8476663603517823
88,ldbkash,CT,1.0,0.8437998368186139
88,ldbkash,LDA,0.9144835892803372,0.8483361795752107
88,ldbkemd,CT,1.0,0.8793158059486414
88,ldbkemd,LDA,0.8685529030356617,0.8478122443727539
93,original,CT,1.0,0.8223197724250437
93,original,LDA,1.0,0.6791219059687874
93,ldbk,CT,1.0,0.9254676849798801
93,ldbk,LDA,0.9244405696018599,0.8625642673848163
93,ldbkash,CT,1.0,0.5312565602039288
93,ldbkash,LDA,0.5946341077920025,0.4356097091190354
93,ldbkemd,CT,1.0,0.8971148029630005
93,ldbkemd,LDA,0.9125224014336918,0.8632071108681366
26,original,CT,1.0,0.7720547239175463
26,original,LDA,1.0,0.6585849478556351
26,ldbk,CT,1.0,0.9342374511866037
26,ldbk,LDA,0.8953418027828192,0.8773293646753894
26,ldbkash,CT,1.0,0.6751427728100483
26,ldbkash,LDA,0.6887883358471594,0.5747016946249028
26,ldbkemd,CT,1.0,0.9034886785241346
26,ldbkemd,LDA,0.9093137254901961,0.8782335415743974
10,original,CT,1.0,0.8132406600148535
10,original,LDA,1.0,0.6801089506568113
10,ldbk,CT,1.0,0.9063506511566587
10,ldbk,LDA,0.9393939393939394,0.8482129598995469
10,ldbkash,CT,1.0,0.5787225442272803
10,ldbkash,LDA,0.60625,0.4156386358353793
10,ldbkemd,CT,1.0,0.866804851834792
10,ldbkemd,LDA,0.9298499702911468,0.8461290307886726
77,original,CT,1.0,0.7801112895179957
77,original,LDA,1.0,0.6964217324873063
77,ldbk,CT,1.0,0.9192682955427821
77,ldbk,LDA,0.8651471984805318,0.7852525500198676
77,ldbkash,CT,1.0,0.6164480762659237
77,ldbkash,LDA,0.7322472848788639,0.5332257503640434
77,ldbkemd,CT,1.0,0.9214980703413118
77,ldbkemd,LDA,0.9211309523809523,0.878163350432505
24,original,CT,1.0,0.8456087732871528
24,original,LDA,1.0,0.6101987387552308
24,ldbk,CT,1.0,0.8671643533273228
24,ldbk,LDA,0.912037037037037,0.8837276906195621
24,ldbkash,CT,1.0,0.5818496044405947
24,ldbkash,LDA,0.666955266955267,0.4326495661241424
24,ldbkemd,CT,1.0,0.9158436328145066
24,ldbkemd,LDA,0.892156862745098,0.8730243900055221
87,original,CT,1.0,0.8064755933721451
87,original,LDA,1.0,0.7172489032873846
87,ldbk,CT,1.0,0.8507211034419369
87,ldbk,LDA,0.9321983273596177,0.8922077922077922
87,ldbkash,CT,1.0,0.810056418025532
87,ldbkash,LDA,0.7552725900773439,0.5896782552413471
87,ldbkemd,CT,1.0,0.8406863024121097
87,ldbkemd,LDA,0.9321983273596177,0.8932337382674438
58,original,CT,1.0,0.8217820573185813
58,original,LDA,1.0,0.6717741192689717
58,ldbk,CT,1.0,0.9438983284584473
58,ldbk,LDA,0.8508928571428571,0.8769596418280629
58,ldbkash,CT,1.0,0.6633608311278789
58,ldbkash,LDA,0.8307782572488455,0.6748508979779768
58,ldbkemd,CT,1.0,0.9213511105728224
58,ldbkemd,LDA,0.9136878814298169,0.8974073107582465
25,original,CT,1.0,0.8113561910391881
25,original,LDA,1.0,0.6314252201664696
25,ldbk,CT,1.0,0.8970567752457829
25,ldbk,LDA,0.84375,0.8655586932840769
25,ldbkash,CT,1.0,0.6856894325518179
25,ldbkash,LDA,0.7136752136752136,0.5564353357538565
25,ldbkemd,CT,1.0,0.8978240327854928
25,ldbkemd,LDA,0.8389926428975665,0.8697611126905038
23,original,CT,1.0,0.814065465666557
23,original,LDA,1.0,0.7277975211204852
23,ldbk,CT,1.0,0.8725329607682549
23,ldbk,LDA,0.9237237237237237,0.8589793375726098
23,ldbkash,CT,1.0,0.5717612690273484
23,ldbkash,LDA,0.7151532677848467,0.6250261671984974
23,ldbkemd,CT,1.0,0.8894586708474872
23,ldbkemd,LDA,0.9211309523809523,0.8756833206203916
49,original,CT,1.0,0.8363593343680764
49,original,LDA,1.0,0.7287466612225455
49,ldbk,CT,1.0,0.8986354181705406
49,ldbk,LDA,0.9722222222222222,0.8732717905767039
49,ldbkash,CT,1.0,0.758403880705321
49,ldbkash,LDA,0.7938922695514988,0.7337627482555018
49,ldbkemd,CT,1.0,0.8986354181705406
49,ldbkemd,LDA,0.9809523809523809,0.8904176763958366
59,original,CT,1.0,0.7835916330519399
59,original,LDA,1.0,0.7047420696905233
59,ldbk,CT,1.0,0.8828503935420413
59,ldbk,LDA,0.8964912280701754,0.8810435683462627
59,ldbkash,CT,1.0,0.5548839596438648
59,ldbkash,LDA,0.674224922278315,0.4431090849863413
59,ldbkemd,CT,1.0,0.8847849296142066
59,ldbkemd,LDA,0.8964912280701754,0.8810435683462627
5,original,CT,1.0,0.8407546321967649
5,original,LDA,1.0,0.6919409664170695
5,ldbk,CT,1.0,0.8952505369584578
5,ldbk,LDA,0.8935185185185185,0.8594606911212297
5,ldbkash,CT,1.0,0.7238855111551044
5,ldbkash,LDA,0.6679316888045541,0.534157376170364
5,ldbkemd,CT,1.0,0.8950974594664713
5,ldbkemd,LDA,0.9018759018759018,0.8547929267301293
31,original,CT,1.0,0.8429400140243514
31,original,LDA,1.0,0.6612318682825138
31,ldbk,CT,1.0,0.8930359967719754
31,ldbk,LDA,0.9011904761904762,0.8696412903176421
31,ldbkash,CT,1.0,0.7566959051876616
31,ldbkash,LDA,0.7063813379602852,0.5325808436630772
31,ldbkemd,CT,1.0,0.9208686964123783
31,ldbkemd,LDA,0.9052631578947369,0.8475205402284374
89,original,CT,1.0,0.8596656165817715
89,original,LDA,1.0,0.8022166047167629
89,ldbk,CT,1.0,0.9215690760535239
89,ldbk,LDA,0.9606758832565284,0.9063743057257209
89,ldbkash,CT,1.0,0.6396357588890442
89,ldbkash,LDA,0.7486420589868865,0.5425491038360302
89,ldbkemd,CT,1.0,0.9318459352767656
89,ldbkemd,LDA,0.9606758832565284,0.9018396029080877
62,original,CT,1.0,0.8501143395211191
62,original,LDA,1.0,0.709542146314039
62,ldbk,CT,1.0,0.9568416154227041
62,ldbk,LDA,0.9244405696018599,0.8958971680594243
62,ldbkash,CT,1.0,0.5597814310272597
62,ldbkash,LDA,0.6641502129307006,0.4564970217914749
62,ldbkemd,CT,1.0,0.924476859801337
62,ldbkemd,LDA,0.9328703703703703,0.899562054136434
43,original,CT,1.0,0.8331927870993656
43,original,LDA,1.0,0.6814604424825907
43,ldbk,CT,1.0,0.881651869787463
43,ldbk,LDA,0.9014336917562724,0.8941295252841552
43,ldbkash,CT,1.0,0.5346387693164727
43,ldbkash,LDA,0.7543771043771044,0.5233094724662373
43,ldbkemd,CT,1.0,0.9063167829574948
43,ldbkemd,LDA,0.8907738095238096,0.8895545296682075
90,original,CT,1.0,0.840234759040285
90,original,LDA,1.0,0.6556049854840797
90,ldbk,CT,1.0,0.869557279780922
90,ldbk,LDA,0.8978827377047622,0.871598277311418
90,ldbkash,CT,1.0,0.8547621054443002
90,ldbkash,LDA,0.8857385398981324,0.877230166203033
90,ldbkemd,CT,1.0,0.866207159037237
90,ldbkemd,LDA,0.9203548085901028,0.8469742784933285
39,original,CT,1.0,0.8354918355301987
39,original,LDA,1.0,0.6810694450807613
39,ldbk,CT,1.0,0.8902798361677939
39,ldbk,LDA,0.8890931372549019,0.8527028904677454
39,ldbkash,CT,1.0,0.6318259629784106
39,ldbkash,LDA,0.7415824915824916,0.5533778134729326
39,ldbkemd,CT,1.0,0.9055252767363661
39,ldbkemd,LDA,0.9093137254901961,0.8420026859343611
34,original,CT,1.0,0.8433184509985008
34,original,LDA,1.0,0.7431254405296462
34,ldbk,CT,1.0,0.9202431346160367
34,ldbk,LDA,0.8997198879551821,0.8947896283547012
34,ldbkash,CT,1.0,0.6260183015234946
34,ldbkash,LDA,0.6241117571059431,0.48021629455778214
34,ldbkemd,CT,1.0,0.9227739041865988
34,ldbkemd,LDA,0.9185420380273321,0.8891088595303656
44,original,CT,1.0,0.8693874724965658
44,original,LDA,1.0,0.7124540424082808
44,ldbk,CT,1.0,0.8406021214216018
44,ldbk,LDA,0.9509803921568627,0.8715449359647311
44,ldbkash,CT,1.0,0.5998419080593649
44,ldbkash,LDA,0.7481078061723223,0.4991294713516936
44,ldbkemd,CT,1.0,0.8650464511334076
44,ldbkemd,LDA,0.9411255411255411,0.86991748703586
94,original,CT,1.0,0.8761957963537725
94,original,LDA,1.0,0.739017380663811
94,ldbk,CT,1.0,0.8644006703685593
94,ldbk,LDA,0.9004980682400037,0.8745853006677436
94,ldbkash,CT,1.0,0.5823043687759342
94,ldbkash,LDA,0.6286744639376218,0.562563017707095
94,ldbkemd,CT,1.0,0.9459007388204478
94,ldbkemd,LDA,0.8787878787878788,0.8787893948895942
55,original,CT,1.0,0.8200937099238074
55,original,LDA,1.0,0.6593819907121794
55,ldbk,CT,1.0,0.8872620193704582
55,ldbk,LDA,0.9421296296296297,0.8980609323113166
55,ldbkash,CT,1.0,0.7352351092922451
55,ldbkash,LDA,0.8075594656239817,0.5845994393800202
55,ldbkemd,CT,1.0,0.8797459269812118
55,ldbkemd,LDA,0.9316017316017315,0.8991740310684535
86,original,CT,1.0,0.8589890570863987
86,original,LDA,1.0,0.6494394332424029
86,ldbk,CT,1.0,0.8479584257613842
86,ldbk,LDA,0.9011904761904762,0.907924653609751
86,ldbkash,CT,1.0,0.6846001469128247
86,ldbkash,LDA,0.7546977124183006,0.7046550617146473
86,ldbkemd,CT,1.0,0.9159438261420056
86,ldbkemd,LDA,0.9304812834224598,0.9053497942386831
17,original,CT,1.0,0.8231723256583373
17,original,LDA,1.0,0.7444575019640939
17,ldbk,CT,1.0,0.9158839065384768
17,ldbk,LDA,0.9354636591478697,0.8962856880238864
17,ldbkash,CT,1.0,0.8956906099303015
17,ldbkash,LDA,0.9699754901960784,0.9072240000407639
17,ldbkemd,CT,1.0,0.8464344699964355
17,ldbkemd,LDA,0.9314814814814815,0.8908852392453297
99,original,CT,1.0,0.8308705141273949
99,original,LDA,1.0,0.7790965576367477
99,ldbk,CT,1.0,0.9115171622421632
99,ldbk,LDA,0.9203802733214498,0.8871871274913344
99,ldbkash,CT,1.0,0.6570061979364306
99,ldbkash,LDA,0.774712643678161,0.6450779875123551
99,ldbkemd,CT,1.0,0.9202704451345756
99,ldbkemd,LDA,0.9610119047619048,0.897736232522267
71,original,CT,1.0,0.8324017199017198
71,original,LDA,1.0,0.7182825323398667
71,ldbk,CT,1.0,0.9099173042999517
71,ldbk,LDA,0.9203802733214498,0.8705736884425409
71,ldbkash,CT,1.0,0.6502137907313585
71,ldbkash,LDA,0.6907765629380431,0.5116282733421758
71,ldbkemd,CT,1.0,0.8899806945365443
71,ldbkemd,LDA,0.9306547619047619,0.858036913986797
37,original,CT,1.0,0.8223550835261242
37,original,LDA,1.0,0.6879165829759787
37,ldbk,CT,1.0,0.882750548007901
37,ldbk,LDA,0.8894087938205585,0.8678334863303878
37,ldbkash,CT,1.0,0.717271639409653
37,ldbkash,LDA,0.7228758169934641,0.5336807010463291
37,ldbkemd,CT,1.0,0.8773577240205915
37,ldbkemd,LDA,0.9004980682400037,0.8715268357725233
47,original,CT,1.0,0.8194731159642717
47,original,LDA,1.0,0.7055291233631751
47,ldbk,CT,1.0,0.8879942679962827
47,ldbk,LDA,0.9191919191919192,0.9106551862306628
47,ldbkash,CT,1.0,0.7257242555013077
